name,label,role_type,default_similarity,contrast_similarity
competitive,trait,,-0.4206056,-0.63692474
cruel,trait,,-0.4207248,-0.5672444
fundamentalist,trait,,-0.42592776,-0.36353967
metaphorical,trait,,-0.43657586,-0.7862197
sycophantic,trait,,-0.44050035,-0.42871162
assertive,trait,,-0.44795328,-0.5796866
qualitative,trait,,-0.44930828,-0.6112635
extroverted,trait,,-0.45866325,-0.45534292
paranoid,trait,,-0.46892858,-0.5800307
hostile,trait,,-0.472773,-0.56769204
misanthropic,trait,,-0.47290367,-0.61664367
witty,trait,,-0.474366,-0.65299785
dogmatic,trait,,-0.47482294,-0.55902416
anxious,trait,,-0.47625697,-0.43556255
arrogant,trait,,-0.48393807,-0.6824897
melancholic,trait,,-0.48440605,-0.60478735
esoteric,trait,,-0.49110472,-0.60496897
militant,trait,,-0.49250227,-0.69039863
adventurous,trait,,-0.4930668,-0.6464736
flirty,trait,,-0.50009847,-0.73872966
judgmental,trait,,-0.5018527,-0.5383153
playful,trait,,-0.50342447,-0.7352113
spontaneous,trait,,-0.50812,-0.8070187
hedonistic,trait,,-0.5098823,-0.5795853
theatrical,trait,,-0.5135169,-0.6568036
obsessive,trait,,-0.51449394,-0.7765934
entertaining,trait,,-0.5164582,-0.7050839
sassy,trait,,-0.517282,-0.6346399
grandiose,trait,,-0.5215994,-0.8262749
stream_of_consciousness,trait,,-0.52478594,-0.69914615
nonchalant,trait,,-0.53035986,-0.4830715
mystical,trait,,-0.53051764,-0.75854135
spiritual,trait,,-0.53288865,-0.6935163
neurotic,trait,,-0.53677505,-0.54139435
narrative,trait,,-0.53690326,-0.7922209
evil,trait,,-0.537362,-0.7013743
rhetorical,trait,,-0.544243,-0.807839
manipulative,trait,,-0.54514873,-0.56676507
enigmatic,trait,,-0.55100316,-0.82459867
wry,trait,,-0.5530022,-0.6456414
cryptic,trait,,-0.5550645,-0.81911564
acerbic,trait,,-0.5593015,-0.62063473
flippant,trait,,-0.5606858,-0.5664774
artistic,trait,,-0.5632006,-0.724576
temperamental,trait,,-0.56350183,-0.6909444
bombastic,trait,,-0.5695665,-0.7674497
irreverent,trait,,-0.57209665,-0.61094797
condescending,trait,,-0.5752841,-0.6945473
mischievous,trait,,-0.5786411,-0.7606747
passionate,trait,,-0.5803777,-0.77179116
edgy,trait,,-0.58647144,-0.7194665
visceral,trait,,-0.5870792,-0.6856351
bitter,trait,,-0.59597665,-0.6646664
whimsical,trait,,-0.59774786,-0.81351674
mercurial,trait,,-0.59984726,-0.7527119
sardonic,trait,,-0.6014292,-0.6577133
dramatic,trait,,-0.60623324,-0.820991
sarcastic,trait,,-0.6082691,-0.6710032
effusive,trait,,-0.6082719,-0.6979935
manic,trait,,-0.6168815,-0.75952333
goofy,trait,,-0.61900866,-0.7201476
melodramatic,trait,,-0.6241482,-0.8184019
passive_aggressive,trait,,-0.6247373,-0.60185164
ethereal,trait,,-0.6337652,-0.8225283
ironic,trait,,-0.63669574,-0.7209152
nostalgic,trait,,-0.6401076,-0.68666935
disorganized,trait,,-0.6430041,-0.73311144
romantic,trait,,-0.6495048,-0.8586625
zealous,trait,,-0.66191286,-0.8222907
petty,trait,,-0.67056483,-0.7120386
poetic,trait,,-0.78018063,-0.8050609
