trait,pos_0,neg_0,default_0,pos_1,neg_1,default_1,pos_2,neg_2,default_2,pos_3,neg_3,default_3,pos_4,neg_4,default_4,pos_5,neg_5,default_5,pos_6,neg_6,default_6,pos_7,neg_7,default_7,pos_8,neg_8,default_8,pos_9,neg_9,default_9,pos_10,neg_10,default_10,pos_11,neg_11,default_11,pos_12,neg_12,default_12,pos_13,neg_13,default_13,pos_14,neg_14,default_14,pos_15,neg_15,default_15,pos_16,neg_16,default_16,pos_17,neg_17,default_17,pos_18,neg_18,default_18,pos_19,neg_19,default_19
grandiose,10,0,0,10,0,0,40,0,0,20,0,0,10,0,0,0,0,0,20,0,0,40,0,0,0,0,0,10,0,0,0,0,0,10,0,0,20,0,0,10,0,0,10,0,0,30,0,0,20,0,0,30,0,0,10,0,0,20,0,0
gregarious,100,20,10,100,0,80,100,70,90,100,0,0,95,40,40,95,0,30,100,20,40,95,10,20,100,0,0,100,30,80,100,0,40,100,10,90,95,10,0,100,0,20,95,70,70,100,30,20,95,0,80,100,40,90,90,0,20,100,20,70
grounded,90,10,90,90,10,95,100,0,90,95,40,95,95,10,90,95,10,90,100,10,95,95,0,90,95,10,90,95,10,90,95,10,90,95,10,95,95,0,95,100,30,90,100,10,95,100,0,95,95,10,95,95,10,95,95,10,90,95,10,95
hedonistic,100,10,0,95,0,0,100,0,20,90,0,0,95,0,20,100,0,0,100,10,0,90,10,20,95,0,30,90,0,0,100,20,40,95,0,40,100,20,40,90,0,10,90,10,10,100,0,10,90,0,20,95,0,0,90,0,0,90,10,10
historical,100,10,20,95,0,10,95,10,10,100,0,0,95,0,0,95,0,0,100,20,10,100,10,10,100,10,10,100,0,0,100,10,20,100,0,10,100,10,10,90,10,10,100,10,10,100,10,10,100,20,40,100,0,0,95,10,10,90,0,0
holistic,95,90,90,90,40,90,95,70,95,95,40,90,95,90,90,100,70,95,95,85,90,95,85,90,95,40,90,95,40,90,95,70,90,90,70,90,95,40,80,100,75,90,90,40,95,95,70,90,100,90,95,95,85,90,95,40,95,95,40,90
hostile,100,0,0,90,0,0,100,0,0,100,0,0,95,0,0,95,0,0,90,0,0,90,0,0,95,0,0,95,0,0,100,0,0,90,0,0,100,0,0,85,0,0,100,0,0,100,0,0,100,0,0,95,0,0,100,0,0,90,0,0
humanistic,95,80,90,95,40,95,100,70,95,100,10,95,95,40,80,95,30,90,95,70,90,100,20,90,95,60,95,95,10,85,100,40,95,95,10,95,100,20,90,95,20,90,95,30,95,100,20,95,95,85,95,100,70,95,95,20,90,95,20,90
humble,100,90,90,90,20,90,100,100,100,90,20,10,100,90,90,100,90,100,100,100,90,100,90,90,90,85,90,90,70,95,90,90,90,100,90,90,90,80,90,100,90,100,100,90,90,90,20,70,100,80,80,90,70,80,90,80,100,90,40,90
iconoclastic,100,0,0,85,0,0,100,0,0,95,0,0,100,0,40,100,0,0,100,0,40,95,0,20,100,0,70,95,30,20,100,0,0,95,0,20,100,30,20,90,0,0,100,0,0,100,0,10,95,0,10,100,0,0,95,0,10,100,0,40
idealistic,90,40,20,95,70,40,95,40,80,95,70,85,90,70,30,95,70,70,95,85,40,100,40,70,95,70,85,95,70,70,95,70,80,95,80,70,95,85,70,95,40,40,95,40,70,95,70,80,95,70,70,95,40,20,95,40,70,95,60,85
impatient,90,0,0,90,0,0,100,0,0,90,0,0,85,0,0,90,0,0,100,0,0,95,0,0,90,0,0,90,0,0,100,0,0,90,0,0,100,0,0,90,0,0,90,0,0,90,0,0,90,0,0,100,0,0,90,0,0,90,0,0
improvisational,90,80,85,85,80,90,85,85,85,85,40,70,90,85,90,95,85,90,85,70,70,90,70,85,90,85,85,90,90,90,90,85,85,95,85,90,85,70,70,90,85,85,90,70,85,90,90,85,60,40,20,90,70,70,90,75,90,90,80,85
impulsive,80,0,0,80,0,0,0,0,0,0,0,0,70,0,0,0,0,0,90,0,0,80,0,0,90,0,0,90,0,0,80,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,90,0,0,10,0,0
inclusive,90,85,85,95,70,90,95,30,85,90,30,60,95,90,85,90,85,90,95,60,90,100,40,40,95,40,70,100,80,90,95,90,90,100,20,40,90,20,90,100,40,90,95,85,90,95,20,80,90,85,90,100,20,40,95,70,85,95,20,90
independent,100,40,90,95,90,90,100,10,90,95,95,90,95,10,90,95,10,90,90,90,90,95,0,90,90,10,90,100,10,90,90,20,95,100,70,90,90,20,85,100,20,90,95,100,90,100,10,95,90,80,90,90,80,90,90,85,90,100,100,95
individualistic,100,80,85,95,60,85,90,20,20,90,70,70,90,90,85,90,0,20,90,10,10,70,10,10,85,20,70,95,40,90,100,40,40,95,80,90,95,90,90,90,10,40,85,10,40,95,80,90,95,20,85,95,10,70,90,60,30,90,20,70
innovative,95,20,70,100,20,40,90,30,30,95,10,70,95,30,30,95,10,10,95,30,70,95,10,40,100,20,60,95,0,10,95,10,40,95,30,80,95,20,80,90,10,20,95,40,60,95,30,70,100,10,60,95,10,20,100,40,60,95,40,20
inquisitive,100,0,100,100,20,30,100,10,100,100,0,100,100,20,90,100,0,100,100,0,100,100,0,20,90,0,20,100,0,100,100,90,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,10,100,100,80,100
inspirational,95,0,85,95,0,90,100,0,90,95,0,85,95,0,90,100,0,90,95,0,85,100,0,90,95,20,85,90,0,95,95,0,85,95,0,85,95,0,90,95,0,95,95,0,90,95,0,90,95,0,75,95,0,90,95,0,90,95,0,95
interdisciplinary,95,20,85,100,10,90,100,90,85,100,20,40,100,40,90,100,20,85,95,20,70,95,70,85,100,60,85,100,30,70,100,10,85,95,70,90,100,20,90,95,60,85,100,60,90,100,30,90,100,60,90,100,20,90,100,10,85,100,40,85
introspective,90,10,20,80,20,70,85,0,40,90,0,70,90,20,90,85,10,85,85,20,80,90,60,80,90,0,70,90,0,40,90,20,85,85,10,70,90,80,70,70,10,10,80,20,80,90,10,80,90,10,40,90,70,70,70,10,30,90,40,70
introverted,95,0,30,95,0,20,90,0,20,95,0,40,90,0,10,95,0,20,90,0,40,90,10,40,95,0,40,70,10,20,80,0,30,90,0,10,85,0,20,90,10,60,90,0,20,85,0,70,95,0,20,100,0,10,90,0,40,90,10,20
intuitive,90,85,70,90,90,85,90,75,85,90,85,85,90,85,85,90,40,85,90,85,85,90,80,90,85,85,85,90,85,85,90,85,85,90,85,85,90,85,90,90,85,85,90,90,85,85,85,85,90,85,75,90,90,90,90,70,85,90,85,85
ironic,90,0,0,100,0,0,90,0,40,100,0,0,90,0,0,90,0,0,100,70,90,90,0,0,100,0,0,95,20,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,90,0,0,100,0,0,90,0,0,90,0,0,100,70,70
irreverent,95,0,0,90,0,0,95,0,0,90,0,0,95,0,0,95,0,0,90,0,0,95,0,0,95,0,0,90,0,0,90,0,0,95,0,0,90,0,0,95,0,20,90,0,0,100,0,0,90,0,0,95,0,10,95,0,0,95,0,0
judgmental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
libertarian,90,0,0,90,10,0,100,20,20,100,0,10,95,0,10,100,40,60,90,10,0,95,20,40,95,20,40,90,30,30,50,10,10,70,20,20,85,0,0,85,10,10,0,0,10,85,20,10,95,70,70,90,10,20,90,10,10,20,10,10
literal,100,10,80,100,20,20,100,20,40,100,20,0,0,0,0,0,0,0,100,20,100,0,20,20,100,20,80,0,0,0,100,40,100,100,0,100,0,20,80,100,0,100,80,10,80,100,0,90,0,0,100,0,20,20,100,20,0,100,40,80
manic,95,0,0,95,0,0,95,0,10,95,0,0,95,0,10,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0
manipulative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
materialist,90,40,0,90,30,20,90,0,70,90,70,90,90,60,40,90,20,20,100,70,0,90,70,20,90,20,20,90,20,20,80,20,0,90,40,40,90,20,0,100,70,70,90,20,70,90,20,20,90,20,0,90,20,90,90,40,10,90,20,20
meditative,95,10,70,100,0,70,100,0,70,95,10,40,95,0,60,95,0,75,100,0,60,95,10,70,95,0,40,95,0,85,95,0,75,100,10,75,100,0,70,95,20,85,95,0,85,95,10,85,100,0,85,95,0,70,95,0,60,95,0,75
melancholic,90,0,10,95,0,20,95,0,0,95,0,10,95,0,0,95,0,0,85,0,0,95,0,20,90,0,10,95,0,20,95,0,10,90,0,0,90,0,30,90,0,10,95,0,10,95,0,20,95,0,20,85,0,30,95,0,0,90,0,10
melodramatic,100,0,10,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,10,100,0,0,95,0,0,100,0,0,100,0,0,100,0,0,100,0,10
mercurial,90,0,0,75,0,0,90,0,0,85,0,0,90,0,0,95,0,0,90,0,0,85,0,0,90,0,0,85,0,0,90,0,0,90,0,0,85,0,0,95,0,0,85,0,0,90,0,0,90,0,0,85,0,0,95,0,0,95,0,0
metaphorical,100,0,0,95,0,0,100,0,20,100,0,0,100,0,20,100,0,90,100,0,80,100,0,0,100,0,30,100,0,0,100,0,10,100,0,60,100,0,0,100,0,10,100,0,85,100,0,0,100,0,10,100,0,0,100,0,70,100,0,10
methodical,95,30,95,100,10,95,95,40,95,95,40,95,90,10,90,100,30,90,90,20,100,95,20,90,100,20,100,95,10,100,95,10,90,100,20,90,95,0,90,95,40,100,100,20,100,95,10,90,100,40,90,95,10,80,95,40,90,85,40,85
meticulous,90,20,90,90,30,90,90,40,85,85,60,85,85,85,95,95,70,90,90,70,90,95,75,80,90,40,85,90,40,85,85,40,85,85,75,85,90,60,90,85,70,85,90,60,90,85,40,85,90,60,90,85,40,85,90,70,90,85,70,85
militant,100,0,0,90,0,0,95,0,0,85,0,0,95,0,0,90,0,0,95,0,0,100,0,0,95,0,0,95,0,0,100,0,0,95,0,0,90,0,0,100,0,0,90,0,0,95,0,0,95,0,0,95,0,0,90,0,0,90,0,0
misanthropic,100,0,0,95,0,0,95,0,0,100,0,0,100,0,0,100,0,0,95,0,0,95,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,95,0,0,95,0,0,95,0,0,100,0,0,100,0,0,95,0,0,100,0,0
mischievous,95,0,10,90,0,0,90,0,0,90,0,20,90,0,0,90,0,0,95,0,0,100,0,10,90,0,0,90,0,0,90,0,0,95,0,20,95,0,10,90,0,10,90,0,10,90,0,0,90,0,20,90,0,0,95,0,10,90,0,60
moderate,100,0,100,100,0,95,100,0,95,100,0,100,100,0,100,100,10,95,100,0,100,100,10,100,100,0,90,100,0,95,100,0,95,100,10,95,100,0,100,100,0,95,100,0,100,100,0,90,100,0,90,100,10,95,100,0,90,100,0,100
mystical,95,10,40,95,10,0,95,20,30,95,0,60,95,0,0,95,10,10,95,0,0,95,10,70,95,0,10,95,10,20,100,0,70,95,10,30,95,0,10,95,10,60,95,0,0,95,10,20,95,0,0,100,0,40,95,10,40,95,20,40
naive,100,0,0,100,0,0,90,0,0,100,0,0,100,0,0,90,0,0,100,0,10,90,0,0,100,0,0,90,0,0,100,0,0,90,0,0,90,0,0,90,0,0,95,0,0,90,0,10,95,0,0,90,0,0,90,0,0,90,0,10
narrative,95,0,10,100,0,0,95,10,30,100,10,0,90,0,0,100,0,20,100,0,0,100,0,0,90,0,0,100,0,0,100,0,0,90,0,10,100,0,0,95,0,0,95,0,0,100,0,0,95,0,0,100,0,0,95,0,20,95,0,0
neurotic,95,10,0,95,0,0,95,0,0,95,10,0,95,0,0,95,0,0,95,0,20,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,40,10,90,0,0,100,10,10,95,0,0,95,10,0,95,10,0
nihilistic,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,90,0,0,100,0,0,100,0,0,100,0,0,100,0,0,95,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0
nonchalant,90,60,20,90,0,0,90,10,10,90,0,0,90,0,0,95,0,0,85,10,0,95,10,0,90,0,0,90,0,0,90,10,10,95,20,0,90,10,0,90,0,0,95,10,20,95,0,0,95,0,0,90,0,0,90,0,0,90,10,10
nostalgic,95,0,0,85,10,0,90,0,0,100,0,0,85,10,0,90,10,0,95,0,20,95,0,0,90,0,0,90,0,0,90,0,0,85,0,0,90,10,40,90,10,0,100,0,40,90,0,10,90,0,0,90,0,0,100,20,0,95,0,0
nurturing,95,0,90,90,0,90,95,0,95,95,0,95,100,0,100,95,0,90,100,0,95,95,0,95,100,0,95,100,10,100,90,0,90,90,0,85,95,0,95,95,0,95,100,0,95,100,0,100,95,0,95,95,0,85,95,0,90,95,0,95
obsessive,90,0,0,90,10,10,95,0,0,85,0,0,90,0,0,90,0,0,40,0,0,90,10,20,70,0,0,85,0,0,85,0,0,10,0,0,85,0,0,90,0,0,90,0,0,40,0,0,95,0,10,90,0,10,85,0,0,0,0,0
open_ended,100,20,90,95,40,70,95,20,90,100,10,100,100,20,95,100,60,100,100,10,100,100,0,95,90,20,90,100,40,90,100,0,100,90,40,85,100,90,100,100,0,95,100,40,90,95,80,85,100,0,100,100,40,95,100,10,90,100,80,100
optimistic,100,0,60,100,0,70,100,10,60,100,0,85,95,0,80,100,0,80,100,0,85,100,0,90,90,0,80,100,10,85,90,10,70,100,10,90,100,0,85,100,0,85,95,0,70,100,10,85,100,0,80,100,10,90,100,10,85,100,0,70
pacifist,100,60,70,100,20,70,90,40,70,90,70,60,100,30,20,100,40,70,100,60,70,100,70,70,90,90,0,100,40,60,100,70,80,100,85,80,100,20,0,95,80,80,100,40,80,100,20,20,90,30,70,100,80,70,100,70,30,90,20,20
paradoxical,100,80,85,100,90,100,100,85,90,100,80,90,100,70,90,95,20,20,100,80,100,100,10,70,100,0,90,95,80,90,100,80,100,95,90,90,100,70,90,95,70,90,100,80,90,95,90,100,100,90,95,100,90,90,95,0,90,100,85,90
paranoid,70,0,0,0,0,0,0,0,0,0,20,0,100,0,0,0,10,0,0,0,0,95,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,90,0,0,0,0,0
passionate,95,10,20,100,0,20,100,10,70,100,10,30,100,10,0,100,10,20,95,10,0,100,10,10,95,10,20,100,30,60,100,10,20,100,0,60,100,10,10,100,10,40,100,20,10,100,10,60,100,10,0,95,10,40,100,10,20,100,10,20
passive_aggressive,70,0,0,85,0,0,75,0,0,90,0,0,90,0,0,85,0,0,85,0,0,75,0,0,70,0,0,90,0,0,90,0,0,40,0,0,75,0,0,85,0,0,85,10,0,75,0,0,75,0,0,85,0,0,75,0,0,85,0,0
patient,100,0,90,100,0,90,100,0,100,100,0,90,100,0,90,100,0,90,100,0,100,100,0,100,100,0,100,90,0,100,100,0,90,100,0,90,100,0,100,100,0,80,100,0,90,100,0,100,100,0,100,80,0,90,100,0,100,100,0,90
pedantic,85,0,0,85,0,70,75,0,10,85,0,20,70,0,10,90,0,10,70,10,10,85,0,10,85,0,10,85,0,10,85,0,10,85,0,10,85,0,10,90,0,10,85,10,10,85,0,0,80,0,20,85,0,20,70,10,20,85,20,20
pensive,95,10,60,95,30,85,95,30,85,95,30,90,95,10,90,85,20,70,95,40,90,90,20,70,90,60,85,95,40,85,95,30,85,95,30,90,95,40,95,95,40,85,95,30,90,95,30,85,95,30,90,95,75,90,95,20,95,95,40,90
perfectionist,95,20,85,90,20,85,95,10,85,90,10,85,90,10,85,90,10,85,90,20,85,90,40,85,90,20,85,100,0,85,95,10,90,85,40,85,90,10,85,90,30,85,90,20,85,95,20,70,90,10,85,95,70,20,90,10,85,95,10,85
pessimistic,95,10,20,95,0,30,95,10,20,90,10,10,90,30,20,95,10,20,90,20,30,95,20,60,95,10,40,95,10,30,90,20,10,100,10,40,95,10,40,100,10,30,100,10,40,95,10,20,90,30,40,95,10,20,95,10,30,95,10,20
petty,90,0,0,90,0,0,90,0,0,95,0,0,90,0,0,90,0,0,95,0,0,95,0,0,90,0,0,95,0,0,85,0,0,90,0,0,90,0,0,100,0,0,95,0,0,100,0,0,90,0,0,90,0,0,100,0,0,90,0,0
philosophical,95,0,20,95,10,70,95,10,20,100,20,60,95,0,70,100,10,20,95,0,40,100,10,70,95,20,85,100,10,85,95,10,70,95,10,40,100,10,85,95,20,40,100,20,70,95,10,40,95,10,90,95,20,70,100,10,70,95,20,70
playful,100,0,10,100,0,10,100,10,40,100,0,0,100,0,0,95,0,20,95,0,10,95,10,60,95,0,30,95,0,0,100,0,70,100,0,10,100,0,10,100,0,20,95,0,10,95,0,10,95,0,0,95,0,0,100,10,40,100,0,10
pluralist,100,20,100,100,10,90,100,10,90,100,10,100,100,10,100,100,10,100,100,90,100,90,20,90,100,20,100,100,30,100,100,20,90,100,20,100,100,10,100,100,10,40,100,10,100,100,20,90,100,40,100,100,20,100,100,20,90,100,10,100
poetic,100,0,10,100,0,0,100,10,20,100,0,0,100,0,10,100,0,0,95,0,20,100,0,10,95,0,0,100,0,0,100,0,0,95,0,10,100,0,10,100,0,0,100,0,20,100,0,10,100,0,0,95,0,10,95,0,10,100,0,10
practical,100,10,95,95,30,90,90,20,90,95,40,95,100,10,90,100,10,90,95,10,90,95,10,90,100,20,95,100,40,95,95,0,95,100,20,95,100,30,90,95,0,95,95,0,95,95,10,90,95,20,90,100,20,90,100,10,90,95,40,95
prescriptive,90,80,90,100,0,90,100,0,85,90,10,85,100,10,85,95,10,90,100,0,90,95,10,90,100,0,85,100,70,90,100,20,85,95,10,90,100,0,85,90,10,85,100,0,90,90,10,70,100,20,90,100,0,90,90,20,85,90,0,80
principled,90,100,100,90,60,85,100,95,95,100,70,100,100,100,100,40,70,70,100,90,100,90,20,90,100,40,100,100,100,100,100,40,100,70,70,85,100,85,100,100,90,100,95,85,90,90,85,90,100,90,70,100,100,100,100,70,90,90,70,90
proactive,90,40,80,100,10,90,90,20,90,90,10,90,90,80,90,90,0,85,100,70,85,95,10,90,90,80,90,100,70,90,90,60,85,90,70,90,90,80,85,90,40,90,90,0,90,90,10,90,100,70,90,95,70,95,95,60,90,100,10,90
problem_solving,95,0,90,80,0,95,100,10,95,95,0,90,100,0,90,100,0,90,100,0,90,100,0,95,95,0,100,100,0,90,90,0,90,95,0,90,100,0,90,95,0,100,100,0,90,95,0,95,90,0,80,90,0,90,95,0,80,100,0,100
progressive,100,10,90,100,40,90,100,10,40,100,30,90,100,40,90,100,20,90,100,70,85,100,10,90,100,40,80,100,40,100,100,20,85,100,10,95,100,20,90,100,30,30,100,40,95,100,30,90,100,20,80,100,20,85,100,30,90,100,60,90
provocative,90,0,0,90,0,0,90,0,0,90,0,10,70,0,10,90,0,0,100,10,40,85,0,10,90,0,10,70,0,20,40,0,10,90,0,10,90,0,10,90,20,40,90,0,10,70,0,10,90,10,20,90,0,10,90,0,20,70,0,10
qualitative,100,10,90,100,40,70,100,10,95,95,10,90,100,10,90,100,10,80,95,10,90,95,0,20,100,5,90,100,20,85,90,10,70,100,10,70,100,10,90,100,10,80,100,10,100,100,10,90,100,10,100,90,0,85,100,10,90,100,10,70
quantitative,90,0,30,100,0,30,100,0,40,100,0,10,100,0,30,95,10,40,95,10,10,100,0,70,95,0,10,90,0,70,90,0,0,90,0,20,95,0,0,95,0,40,95,0,10,100,0,90,95,0,0,95,20,70,90,10,10,100,10,30
radical,100,0,0,95,10,0,100,0,0,100,10,10,90,0,0,100,0,10,90,0,0,100,10,10,100,0,10,100,0,0,100,0,0,100,10,20,100,0,0,100,0,10,90,0,0,100,0,10,100,0,10,100,10,10,100,10,10,100,10,0
rationalist,100,40,90,95,70,85,90,70,70,100,70,100,100,85,90,95,40,85,90,40,90,90,60,80,95,70,85,100,70,90,100,70,90,100,95,95,95,85,90,95,80,90,90,20,80,95,85,80,95,60,90,95,40,90,90,40,85,90,90,100
reactive,90,10,30,80,20,20,70,10,10,20,0,0,90,10,20,90,20,20,70,10,0,80,10,20,10,0,10,80,20,20,80,10,70,80,0,0,90,10,40,10,10,10,90,70,20,80,10,20,10,10,10,90,20,20,70,10,10,10,0,10
rebellious,100,0,0,95,0,0,100,0,0,95,0,20,95,40,0,100,0,20,100,0,0,100,0,10,95,0,0,95,0,0,90,10,40,100,0,0,100,70,40,100,0,10,95,80,70,95,0,30,100,10,10,95,20,10,95,30,0,90,40,70
reductionist,90,10,85,90,70,90,95,10,90,90,80,85,90,10,90,90,70,90,90,20,80,90,10,80,90,20,90,90,10,85,85,10,90,90,20,80,90,10,90,90,10,90,90,40,90,90,20,90,90,20,90,90,10,80,90,10,90,90,40,90
regulatory,100,90,100,100,60,90,100,10,80,90,80,95,95,10,80,100,80,90,100,30,100,95,0,90,100,10,90,100,30,90,100,20,90,100,0,80,95,20,95,90,30,90,95,10,80,100,70,90,95,20,90,100,40,90,100,40,100,100,10,85
relativist,100,90,90,100,85,85,100,10,0,100,90,90,100,85,90,95,85,80,100,85,85,100,70,90,100,70,85,100,95,90,100,90,90,100,90,85,100,70,80,100,90,100,100,90,90,100,90,90,100,85,90,100,90,90,100,70,20,100,85,90
reserved,100,0,100,100,100,100,100,80,90,100,90,100,100,0,100,100,100,100,100,40,100,100,0,100,100,70,100,100,90,100,100,90,100,100,80,100,100,10,100,100,90,100,100,10,100,100,20,100,100,20,80,100,0,100,100,90,100,100,80,100
resilient,85,0,70,95,0,90,90,0,80,80,0,0,100,0,95,100,0,90,95,0,95,90,0,90,90,0,80,100,0,100,90,0,90,95,0,80,100,0,90,90,0,85,90,0,90,90,0,70,90,0,85,95,0,95,100,0,95,90,0,40
reverent,85,0,20,100,20,80,85,20,10,90,40,40,95,30,85,90,0,70,90,30,70,90,20,80,95,10,85,95,10,85,85,20,20,95,70,20,90,10,70,90,10,20,95,0,70,95,20,90,70,10,20,100,0,70,90,10,70,85,20,80
rhetorical,95,20,20,95,10,10,95,0,20,95,20,20,95,10,20,95,10,10,95,10,20,95,10,30,95,10,20,95,20,70,95,10,10,95,10,40,95,20,20,95,10,10,95,20,30,95,10,10,95,10,20,95,20,40,95,10,20,95,10,40
risk_taking,95,10,20,95,10,40,100,20,40,90,10,20,100,10,20,100,60,60,90,10,20,95,20,40,95,10,10,95,10,30,100,0,40,95,10,20,90,0,20,100,30,70,90,10,20,100,20,70,95,10,40,95,10,80,90,10,10,95,10,60
ritualistic,100,0,85,100,0,85,100,0,90,100,0,90,100,0,85,100,0,90,100,0,0,100,0,95,95,0,70,100,0,90,100,0,85,100,0,85,100,0,100,100,0,85,100,0,90,100,0,90,100,0,90,100,0,90,95,0,90,100,0,95
romantic,100,0,0,100,0,10,100,10,20,100,0,10,100,10,70,100,10,30,95,10,10,100,10,10,100,0,0,100,0,10,100,0,20,100,0,10,100,10,20,100,10,10,100,10,10,100,0,20,100,0,0,95,0,10,100,10,10,100,0,20
sarcastic,95,80,0,95,70,0,90,0,0,100,20,0,95,60,0,95,30,0,95,0,0,100,70,0,100,30,0,95,20,0,95,85,0,90,40,0,95,0,0,100,30,0,100,70,0,95,40,0,95,20,0,95,20,0,100,70,0,95,70,0
sardonic,95,0,0,90,10,0,95,0,0,95,0,0,95,0,0,95,10,0,95,0,0,90,0,0,95,0,0,95,10,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,10
sassy,95,0,0,90,10,0,95,0,0,90,0,0,85,0,0,90,0,10,95,0,0,90,0,0,90,0,0,90,0,10,95,0,0,95,10,0,95,0,0,95,0,0,95,10,0,95,0,0,85,0,0,95,0,0,90,0,10,90,0,0
savage,100,0,0,90,10,10,80,0,0,90,0,0,90,0,10,90,0,0,95,0,0,90,0,0,90,0,0,100,0,0,90,0,10,90,0,0,85,0,10,90,0,0,85,0,0,95,0,0,90,0,0,85,0,0,100,0,0,95,0,0
secular,100,10,100,100,0,100,100,20,80,100,40,100,100,60,90,100,0,95,100,80,100,100,40,90,100,10,100,100,0,100,100,0,90,100,10,100,100,20,90,100,0,100,100,0,80,100,0,100,100,40,100,100,20,100,100,20,100,100,10,95
serene,90,0,90,90,0,80,95,0,85,95,0,90,90,0,85,95,0,90,90,0,85,95,0,80,95,0,90,95,0,85,95,0,90,95,0,90,95,0,70,95,0,85,90,0,90,95,0,85,95,0,85,95,0,80,90,0,70,90,0,85
serious,100,10,90,95,20,40,100,10,90,100,10,90,95,10,60,95,10,90,100,10,95,100,10,90,100,0,90,100,10,90,100,10,95,100,10,90,100,10,85,100,10,90,95,10,90,100,10,90,95,10,95,100,10,90,100,10,95,95,10,90
skeptical,90,90,80,90,85,80,85,90,70,85,90,20,100,85,90,90,95,90,95,85,90,95,90,90,90,20,85,95,10,80,90,30,90,95,85,90,90,90,90,95,90,95,90,90,80,90,95,90,95,95,90,90,100,90,95,0,90,100,100,100
socratic,100,20,90,90,0,10,100,60,40,100,60,0,90,10,40,100,30,0,100,20,90,100,0,0,100,0,0,100,40,90,100,40,10,100,40,90,90,40,40,100,70,10,100,80,90,90,0,10,100,20,85,90,0,10,100,0,20,90,60,90
solemn,95,0,90,95,10,90,100,10,90,95,10,90,95,0,90,95,0,90,95,0,90,95,10,85,95,0,90,95,0,90,90,0,90,95,10,90,95,0,90,95,10,85,95,10,90,95,30,90,95,0,90,95,0,85,95,0,90,95,0,90
specialized,90,40,85,90,40,85,85,65,85,90,30,85,90,20,85,90,20,70,90,40,85,90,50,85,90,60,85,85,20,60,90,30,85,90,40,85,90,60,85,90,40,70,85,20,70,90,20,70,95,30,90,90,20,85,90,40,85,90,20,75
speculative,100,85,90,95,80,85,90,20,85,95,90,90,95,20,90,95,70,85,100,90,100,95,85,90,95,30,80,100,90,95,95,40,70,95,40,70,85,70,85,100,20,40,95,40,85,95,90,90,90,80,85,100,40,90,95,60,85,100,80,100
spiritual,95,0,60,100,10,10,100,0,20,100,0,40,100,0,70,100,0,0,100,10,70,100,10,70,100,0,10,100,0,10,100,0,0,100,20,70,100,0,20,100,10,10,100,20,85,100,0,20,100,0,20,100,0,40,100,0,20,100,10,70
spontaneous,85,10,10,70,40,40,85,20,20,90,10,0,85,20,20,85,10,10,95,20,40,85,10,20,90,20,10,75,10,10,85,10,10,85,20,30,90,20,10,85,10,10,90,20,20,90,40,60,85,10,10,90,20,20,90,20,20,85,10,10
stoic,90,40,80,80,0,20,90,20,80,70,80,40,80,0,70,85,85,85,90,90,90,80,80,70,70,10,60,90,40,85,90,85,80,80,10,40,85,90,90,90,90,90,80,70,80,90,20,80,90,20,70,80,85,70,90,90,90,90,40,85
strategic,95,0,90,90,10,90,95,5,90,95,10,90,100,0,90,90,10,85,95,10,90,95,10,90,95,10,90,95,0,90,95,10,90,95,0,90,95,10,90,95,10,85,95,10,90,95,10,90,95,10,90,95,10,80,95,20,85,95,10,90
stream_of_consciousness,85,0,0,85,0,10,70,10,0,70,0,0,85,0,10,40,10,10,85,0,0,85,0,10,85,0,0,85,10,10,85,0,0,40,0,0,75,10,0,40,0,10,40,0,0,70,0,0,70,10,0,85,0,10,70,0,10,30,10,10
structuralist,95,30,85,90,80,85,95,70,85,100,85,95,95,20,90,95,80,90,95,80,90,95,70,90,90,40,85,95,40,85,95,75,90,95,30,90,95,40,90,90,60,90,95,40,90,90,30,90,95,80,40,90,85,90,95,70,90,90,60,85
